Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,NDVI contribution,dist_river contribution,dist_road contribution,elevation contribution,landcover contribution,population contribution,slope contribution,NDVI permutation importance,dist_river permutation importance,dist_road permutation importance,elevation permutation importance,landcover permutation importance,population permutation importance,slope permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pembalakan_0,90,1.5432,1.8326,500,0.9433,10,1.2454,0.8907,0.0439,10087,5.6158,10.7524,5.9058,41.8059,13.9985,17.1009,4.8207,13.7318,12.1525,2.5414,49.1302,4.7105,13.2286,4.5050,7.6781,0.1230,1.0000,0.0183,0.4765,0.0000,0.1000,7.227E-3,5.0000,0.0854,0.2812,0.0111,0.1000,8.2E-5,10.0000,0.1746,0.2010,0.0333,0.2000,8.078E-5,3.0864,0.0517,0.3401,0.0000,0.1000,4.229E-4,17.3715,0.3082,0.1423,0.1000,0.2000,5.763E-6,18.9853,0.3363,0.1333,0.1333,0.2000,3.495E-6,13.7987,0.2450,0.1660,0.0444,0.2000,1.882E-5,10.0968,0.1761,0.2000,0.0333,0.2000,7.781E-5,27.0698,0.4624,0.0987,0.2000,0.2000,3.384E-7,3.0864,0.0517,0.3401,0.0000,0.1000,4.229E-4,8.8968,0.1551,0.2141,0.0333,0.1000,7.643E-6
Pembalakan_1,90,1.5050,1.7981,500,0.9403,10,1.6199,0.9289,0.0221,10087,6.4411,11.5596,5.3226,43.3882,13.7564,16.0761,3.4559,10.5177,11.3347,3.4471,52.7378,4.7557,13.8927,3.3143,7.7187,0.1281,1.0000,0.0194,0.4942,0.0000,0.0000,8.69E-4,5.0000,0.0839,0.2968,0.0111,0.0000,5.308E-6,10.0000,0.1711,0.2120,0.0333,0.1000,6.987E-6,3.1657,0.0538,0.3547,0.0000,0.0000,3.153E-5,16.7442,0.2890,0.1530,0.1000,0.1000,3.955E-7,20.9064,0.3633,0.1296,0.1333,0.2000,2.8E-6,13.2434,0.2303,0.1793,0.0444,0.1000,1.609E-6,18.3486,0.3190,0.1432,0.1222,0.1000,2.2E-7,8.0417,0.1367,0.2382,0.0333,0.0000,5.887E-7,3.1657,0.0538,0.3547,0.0000,0.0000,3.153E-5,9.1161,0.1547,0.2231,0.0333,0.1000,1.093E-5
Pembalakan_2,90,1.5274,1.8041,500,0.9402,10,1.4424,0.9058,0.0355,10088,4.3460,10.8066,8.1646,43.2888,17.5236,12.3755,3.4949,10.1329,12.3420,2.6710,52.1799,7.4702,11.6435,3.5605,7.6941,0.1248,1.0000,0.0189,0.4825,0.0000,0.0000,6.832E-4,5.0000,0.0858,0.2876,0.0222,0.1000,9.968E-5,10.0000,0.1722,0.2052,0.0444,0.1000,5.258E-6,1.5664,0.0280,0.4299,0.0000,0.0000,2.157E-4,17.1901,0.3015,0.1448,0.1000,0.3000,1.069E-4,21.4187,0.3750,0.1222,0.1222,0.3000,3.485E-5,14.8889,0.2555,0.1602,0.0556,0.2000,1.436E-5,12.5254,0.2138,0.1795,0.0444,0.2000,3.43E-5,12.5232,0.2138,0.1795,0.0444,0.1000,1.624E-6,4.8785,0.0832,0.2906,0.0111,0.1000,1.093E-4,8.9933,0.1531,0.2176,0.0444,0.1000,8.791E-6
Pembalakan_3,90,1.5458,1.8486,500,0.9425,10,1.2249,0.9016,0.0260,10087,7.0546,12.3273,4.5580,40.7842,12.9591,18.2981,4.0187,12.7307,14.6538,3.1855,49.7465,3.7362,12.8157,3.1316,7.6739,0.1227,1.0000,0.0193,0.4655,0.0000,0.0000,4.783E-4,5.0000,0.0885,0.2828,0.0222,0.0000,3.276E-6,10.0000,0.1764,0.2038,0.0444,0.1000,4.958E-6,2.4154,0.0441,0.3671,0.0000,0.0000,4.445E-5,19.9714,0.3428,0.1298,0.1000,0.3000,5.185E-5,20.8668,0.3549,0.1253,0.1222,0.3000,4.112E-5,14.4574,0.2516,0.1637,0.0556,0.3000,2.378E-4,11.2469,0.1960,0.1909,0.0444,0.2000,5.483E-5,5.3498,0.0939,0.2750,0.0222,0.0000,2.474E-6,2.4154,0.0441,0.3671,0.0000,0.0000,4.445E-5,9.1901,0.1602,0.2132,0.0444,0.1000,7.368E-6
Pembalakan_4,90,1.5197,1.7849,500,0.9387,10,1.1801,0.8802,0.0724,10087,3.1933,10.1311,5.5306,42.9360,14.9146,18.4311,4.8633,6.2567,12.0604,3.4795,50.2765,5.5711,17.8106,4.5452,7.7027,0.1265,1.0000,0.0189,0.4736,0.0000,0.1000,6.875E-3,5.0000,0.0901,0.2831,0.0222,0.1000,8.714E-5,10.0000,0.1819,0.2043,0.0556,0.1000,5.065E-6,3.7031,0.0655,0.3185,0.0000,0.1000,2.408E-4,17.7569,0.3224,0.1441,0.1000,0.1000,2.338E-7,19.8026,0.3556,0.1333,0.1333,0.1000,1.173E-7,16.8346,0.3074,0.1494,0.0778,0.1000,3.21E-7,26.9509,0.4640,0.1034,0.1778,0.1000,1.225E-8,26.9509,0.4640,0.1034,0.1778,0.1000,1.225E-8,3.7031,0.0655,0.3185,0.0000,0.1000,2.408E-4,8.7205,0.1569,0.2195,0.0444,0.1000,9.488E-6
Pembalakan_5,90,1.4680,1.7545,500,0.9380,10,1.9859,0.9584,0.0115,10087,4.2846,10.7853,9.1656,43.5117,14.0891,14.2384,3.9253,9.9207,13.1614,2.8768,51.1299,5.0069,14.3593,3.5451,7.7512,0.1325,1.0000,0.0199,0.4938,0.0000,0.0000,8.621E-4,5.0000,0.0891,0.3009,0.0111,0.0000,6.081E-6,10.0000,0.1779,0.2173,0.0333,0.0000,2.348E-7,3.8097,0.0687,0.3345,0.0000,0.0000,1.753E-5,17.5441,0.3061,0.1528,0.1000,0.0000,6.925E-9,20.0140,0.3543,0.1386,0.1333,0.0000,2.615E-9,11.6470,0.2049,0.1996,0.0333,0.0000,1.002E-7,28.9864,0.4818,0.1000,0.2111,0.1000,9.124E-9,28.2869,0.4718,0.1025,0.1889,0.0000,1.281E-10,3.8097,0.0687,0.3345,0.0000,0.0000,1.753E-5,8.9623,0.1576,0.2304,0.0333,0.0000,4.214E-7
Pembalakan_6,90,1.4976,1.7878,500,0.9392,10,1.6547,0.9356,0.0153,10087,4.2927,11.1530,10.6441,38.3907,13.6659,17.3032,4.5503,8.9560,11.7058,3.5425,51.8179,4.7394,15.3392,3.8992,7.7243,0.1287,1.0000,0.0198,0.4915,0.0000,0.0000,8.231E-4,5.0000,0.0880,0.3000,0.0111,0.0000,5.903E-6,10.0000,0.1730,0.2161,0.0444,0.0000,2.223E-7,3.1944,0.0570,0.3551,0.0000,0.0000,3.189E-5,17.6880,0.2994,0.1502,0.1000,0.1000,3.363E-7,19.4594,0.3265,0.1397,0.1444,0.1000,1.77E-7,12.9689,0.2221,0.1858,0.0556,0.0000,4.899E-8,20.5827,0.3455,0.1334,0.1444,0.1000,1.18E-7,17.1733,0.2906,0.1536,0.0889,0.0000,7.293E-9,3.1944,0.0570,0.3551,0.0000,0.0000,3.189E-5,9.3429,0.1623,0.2242,0.0444,0.0000,3.216E-7
Pembalakan_7,90,1.5274,1.8257,500,0.9418,10,1.4137,0.9131,0.0276,10087,5.3706,11.7008,6.8344,39.6424,14.3244,18.5644,3.5629,9.2464,14.2198,3.8465,49.0324,5.6883,14.0884,3.8782,7.6953,0.1251,1.0000,0.0194,0.4779,0.0000,0.0000,6.219E-4,5.0000,0.0876,0.2867,0.0111,0.1000,9.712E-5,10.0000,0.1749,0.2060,0.0444,0.1000,5.444E-6,2.4901,0.0439,0.3718,0.0000,0.0000,5.043E-5,17.0041,0.2906,0.1474,0.1000,0.1000,2.852E-7,19.4292,0.3331,0.1333,0.1333,0.2000,3.495E-6,14.9820,0.2564,0.1613,0.0667,0.1000,6.317E-7,18.6223,0.3206,0.1377,0.1222,0.1000,1.56E-7,18.6223,0.3206,0.1377,0.1222,0.1000,1.56E-7,2.4901,0.0439,0.3718,0.0000,0.0000,5.043E-5,9.0204,0.1581,0.2178,0.0444,0.1000,8.869E-6
Pembalakan_8,90,1.4977,1.7877,500,0.9389,10,1.7072,0.9364,0.0182,10087,5.5302,12.3094,7.8517,40.1646,13.2983,17.0148,3.8311,9.5716,16.1938,3.4417,51.0082,4.2174,11.9919,3.5754,7.7233,0.1286,1.0000,0.0197,0.4961,0.0000,0.0000,9.027E-4,5.0000,0.0845,0.3011,0.0111,0.0000,6.121E-6,10.0000,0.1710,0.2151,0.0556,0.0000,2.123E-7,2.6954,0.0484,0.3781,0.0000,0.0000,5.973E-5,18.3059,0.3111,0.1447,0.1000,0.1000,2.425E-7,20.7405,0.3513,0.1312,0.1333,0.2000,3.076E-6,17.3356,0.2931,0.1508,0.0889,0.1000,3.483E-7,19.6417,0.3338,0.1370,0.1222,0.1000,1.491E-7,15.9591,0.2704,0.1601,0.0889,0.0000,1.107E-8,2.6954,0.0484,0.3781,0.0000,0.0000,5.973E-5,9.2810,0.1588,0.2241,0.0333,0.0000,3.188E-7
Pembalakan_9,90,1.5189,1.8110,500,0.9402,10,1.4918,0.9131,0.0351,10089,6.5190,11.4319,5.5832,41.8309,14.9309,15.8676,3.8364,12.0426,14.4044,2.9818,49.3976,6.0067,11.8365,3.3304,7.7009,0.1258,1.0000,0.0191,0.4857,0.0000,0.0000,7.303E-4,5.0000,0.0858,0.2924,0.0222,0.1000,1.151E-4,10.0000,0.1742,0.2101,0.0333,0.1000,6.477E-6,3.8461,0.0661,0.3247,0.0000,0.1000,2.84E-4,17.7174,0.2956,0.1457,0.1000,0.1000,2.571E-7,20.2581,0.3417,0.1313,0.1333,0.1000,1.025E-7,14.2703,0.2448,0.1698,0.0556,0.1000,9.935E-7,21.4209,0.3604,0.1254,0.1444,0.1000,6.795E-8,21.4209,0.3604,0.1254,0.1444,0.1000,6.795E-8,3.8461,0.0661,0.3247,0.0000,0.1000,2.84E-4,9.2593,0.1605,0.2191,0.0333,0.1000,9.323E-6
Pembalakan (average),90.0000,1.5151,1.8035,500.0000,0.9403,10.0000,1.4966,0.9164,0.0308,10087.3000,5.2648,11.2957,6.9561,41.5743,14.3461,16.5270,4.0359,10.3107,13.2229,3.2014,50.6457,5.1902,13.7006,3.7285,7.7062,0.1266,1.0000,0.0193,0.4837,0.0000,0.0200,0.0020,5.0000,0.0869,0.2913,0.0155,0.0500,0.0001,10.0000,0.1747,0.2091,0.0422,0.0800,0.0000,2.9973,0.0527,0.3574,0.0000,0.0300,0.0001,17.7294,0.3067,0.1455,0.1000,0.1400,0.0000,20.1881,0.3492,0.1318,0.1322,0.1700,0.0000,14.4427,0.2511,0.1686,0.0578,0.1200,0.0000,18.8423,0.3211,0.1450,0.1166,0.1300,0.0000,18.1398,0.3085,0.1574,0.1111,0.0600,0.0000,3.3285,0.0582,0.3435,0.0011,0.0400,0.0001,9.0783,0.1577,0.2203,0.0389,0.0700,0.0000
